Ranks: 1, Time: 73.56958055496216 seconds
Ranks: 2, Time: 38.89742922782898 seconds
Ranks: 3, Time: 26.771215438842773 seconds
Ranks: 4, Time: 20.597420692443848 seconds
Ranks: 5, Time: 17.524808645248413 seconds
Ranks: 6, Time: 15.10447883605957 seconds
Ranks: 7, Time: 13.619991540908813 seconds
Ranks: 8, Time: 12.354755878448486 seconds
Ranks: 9, Time: 11.477329969406128 seconds
Ranks: 10, Time: 10.6493821144104 seconds
Ranks: 11, Time: 10.194441795349121 seconds
Ranks: 12, Time: 8.708819150924683 seconds
Ranks: 13, Time: 8.270212650299072 seconds
Ranks: 14, Time: 8.188466787338257 seconds
Ranks: 15, Time: 7.95998477935791 seconds
Ranks: 16, Time: 6.8440282344818115 seconds
Ranks: 17, Time: 7.528977870941162 seconds
Ranks: 18, Time: 7.302207708358765 seconds
Ranks: 19, Time: 7.189129829406738 seconds
Ranks: 20, Time: 7.0819573402404785 seconds
Ranks: 21, Time: 7.021062612533569 seconds
Ranks: 22, Time: 6.892796277999878 seconds
Ranks: 23, Time: 6.875121116638184 seconds
Ranks: 24, Time: 6.733915567398071 seconds
Ranks: 25, Time: 6.064966678619385 seconds
Ranks: 26, Time: 6.634274482727051 seconds
Ranks: 27, Time: 6.580682039260864 seconds
Ranks: 28, Time: 6.657418251037598 seconds
Ranks: 29, Time: 6.694055557250977 seconds
Ranks: 30, Time: 6.607801675796509 seconds
Ranks: 31, Time: 6.6436684131622314 seconds
Ranks: 32, Time: 6.533642530441284 seconds
Ranks: 33, Time: 6.5750956535339355 seconds
Ranks: 34, Time: 6.527926683425903 seconds
Ranks: 35, Time: 6.60351037979126 seconds
Ranks: 36, Time: 6.228986740112305 seconds
Ranks: 37, Time: 6.485133171081543 seconds
Ranks: 38, Time: 6.522937297821045 seconds
Ranks: 39, Time: 6.558441162109375 seconds
Ranks: 40, Time: 6.5812084674835205 seconds
Ranks: 41, Time: 6.907346963882446 seconds
Ranks: 42, Time: 6.654768943786621 seconds
Ranks: 43, Time: 6.950683116912842 seconds
Ranks: 44, Time: 6.534485816955566 seconds
Ranks: 45, Time: 6.770660638809204 seconds
Ranks: 46, Time: 6.766366958618164 seconds
Ranks: 47, Time: 6.810905933380127 seconds
Ranks: 48, Time: 6.658850431442261 seconds
Ranks: 49, Time: 6.597781181335449 seconds
Ranks: 50, Time: 6.658499002456665 seconds

